ZIP DISEASE_ID COUNT
92064 CLD 20
92084 ALZ 28
92706 HTD 67
90808 CAN 72
93023 HTD 47
95966 HTD 85
92586 HTD 195
90631 CLD 27
93405 OTH 23
92392 CLD 22
95726 HTD 24
95354 HTD 70
94803 CAN 53
92562 ALZ 28
91773 CAN 48
95820 HTD 63
93110 OTH 24
95307 OTH 39
93420 STK 22
90660 CLD 20
96003 OTH 99
92260 HTD 131
91780 CAN 55
92543 STK 24
92404 STK 27
91733 CAN 49
94306 OTH 29
90278 OTH 38
92404 PNF 21
93536 CAN 88
91730 HTD 88
91741 CAN 43
93257 INJ 22
90806 OTH 43
92626 OTH 53
92374 CAN 51
94110 INJ 26
91505 CLD 31
95062 CAN 67
91335 CLD 23
90069 OTH 23
99999 HTD 242
90069 CAN 44
92021 STK 32
92604 OTH 22
91387 OTH 24
91316 OTH 30
94510 OTH 38
95122 CAN 37
92084 CLD 34
94115 HTD 77
94061 OTH 55
93706 OTH 66
94025 STK 26
94578 CAN 49
95366 HTD 35
92683 HTD 159
93101 HTD 36
91911 CAN 137
90712 CAN 63
94108 CAN 38
92109 OTH 54
94578 STK 25
93534 CAN 83
90222 HTD 59
95062 HTD 56
90270 HTD 36
95020 ALZ 21
90808 STK 27
95212 CAN 35
95926 CAN 38
95928 ALZ 28
95632 CAN 38
92082 CAN 52
95963 CAN 28
92119 HTD 66
92506 STK 20
92243 CAN 53
95602 HTD 40
91042 OTH 20
94960 CAN 25
92673 CAN 37
93401 HTD 70
90024 STK 24
90292 CAN 30
95963 OTH 27
92103 HTD 57
93035 OTH 34
91723 CAN 28
92301 HTD 42
91601 CAN 38
90802 HTD 121
91733 OTH 26
90001 CAN 31
93705 STK 20
93436 HTD 106
91016 STK 21
90220 OTH 55
93536 HTD 100
92677 HTD 80
95624 STK 30
93638 INJ 21
94578 CAN 64
95476 STK 41
93257 STK 31
95207 HTD 163
96080 STK 22
94109 CAN 115
94517 CAN 22
96003 CLD 41
91306 STK 23
92264 STK 23
95422 STK 22
92373 ALZ 38
93726 HTD 74
93722 CAN 85
91316 HTD 64
94555 OTH 24
92407 CAN 50
95815 HTD 40
92840 HTD 85
94596 CAN 63
93923 CAN 40
92026 CAN 98
92154 OTH 64
92683 OTH 91
92705 STK 23
