ZIP DISEASE_ID COUNT
92373 OTH 64
91406 HTD 115
90680 OTH 30
93215 CLD 20
91950 HTD 100
92802 CAN 54
92503 CAN 113
92691 HTD 101
95252 CAN 20
95037 CAN 32
91770 CLD 25
95322 CAN 21
90004 CAN 63
94306 OTH 36
92123 CAN 60
91724 OTH 27
90713 CAN 61
92407 OTH 51
95116 CAN 47
93309 ALZ 23
92394 HTD 28
94518 OTH 30
92867 CAN 60
99998 PNF 28
94503 HTD 38
92886 OTH 44
95819 OTH 29
92337 CAN 23
92663 OTH 32
95070 OTH 34
95307 OTH 36
92504 CAN 76
91702 CAN 59
92879 OTH 43
95945 CLD 30
96001 HTD 92
90247 OTH 47
95008 OTH 52
95240 INJ 24
91945 OTH 42
92225 OTH 25
90505 HTD 94
96022 CAN 37
93923 OTH 34
92025 OTH 74
99998 ALZ 49
93065 OTH 56
92653 CAN 48
95367 HTD 31
92835 CAN 55
91792 CAN 35
92868 OTH 24
92240 HTD 66
91977 CAN 94
92139 CAN 51
91786 HTD 85
90291 CAN 29
94533 CLD 33
93535 HTD 102
95821 CAN 84
93268 HTD 39
92284 STK 21
92865 HTD 23
95126 HTD 39
94519 HTD 26
92562 OTH 75
94303 HTD 54
93306 CLD 31
92625 HTD 24
92101 INJ 20
90274 OTH 24
95032 OTH 33
90062 OTH 46
93291 OTH 52
92223 CAN 59
95823 HTD 111
94556 CAN 23
95348 HTD 35
92410 HTD 64
94580 OTH 37
92025 OTH 82
93301 HTD 36
91763 CLD 20
91733 OTH 33
90044 DIA 20
95367 HTD 36
90201 STK 23
93436 STK 24
90504 CAN 53
94118 STK 21
94601 HTD 72
91605 STK 20
92835 CAN 57
93635 CAN 36
94063 HTD 28
92124 CAN 30
91732 CAN 48
90301 HTD 61
92115 CAN 86
91978 HTD 20
95451 HTD 36
90047 CAN 97
91752 OTH 21
90250 CAN 95
93955 OTH 40
94558 HTD 140
95695 HTD 68
92020 CLD 30
93117 OTH 21
94947 HTD 50
94063 CAN 25
91040 CAN 53
91324 HTD 65
93308 CAN 83
95726 CAN 30
95602 HTD 39
92069 OTH 51
95953 HTD 24
95129 HTD 39
92011 HTD 30
92870 OTH 47
92399 CLD 36
