ZIP DISEASE_ID COUNT
90043 HTD 142
91506 HTD 63
95605 CAN 21
92120 HTD 58
94306 HTD 42
94621 OTH 49
94401 HTD 79
92404 CLD 33
91351 OTH 23
94066 STK 20
94553 CAN 88
92056 CLD 23
95358 CAN 33
94132 HTD 75
95824 CAN 43
94603 CAN 49
92604 CAN 43
94108 OTH 21
95307 HTD 52
94947 STK 22
93514 OTH 43
94949 OTH 25
95621 HTD 91
92223 HTD 95
95814 OTH 39
95490 CAN 38
93274 CAN 85
93420 STK 26
90210 HTD 63
92083 OTH 42
91902 HTD 37
92504 OTH 69
95363 HTD 29
91040 CAN 52
91601 STK 20
90620 HTD 103
95023 CAN 57
95959 CAN 40
95926 CAN 60
92069 ALZ 29
91791 OTH 35
90036 OTH 41
90505 STK 27
94110 OTH 85
90064 STK 20
91001 OTH 44
92868 CAN 26
99998 ALZ 30
90063 CAN 75
94526 CAN 49
91775 HTD 51
93257 INJ 34
95242 HTD 59
90804 CAN 39
95822 CLD 30
90621 CAN 28
93101 CAN 28
91789 CAN 61
95240 STK 41
90723 OTH 34
94609 HTD 52
94583 HTD 40
90240 CAN 33
95838 HTD 61
92026 PNF 22
90041 CAN 38
94127 CAN 43
92211 STK 20
91710 CLD 23
90056 HTD 36
91340 OTH 31
93955 OTH 32
91324 OTH 32
90032 HTD 58
91202 OTH 24
93543 CAN 24
92128 STK 28
90036 HTD 87
95822 OTH 64
92673 HTD 35
92240 OTH 52
90640 OTH 68
95122 CAN 50
90034 OTH 43
94520 STK 20
95501 INJ 27
90402 HTD 25
92509 INJ 26
94112 HTD 135
95341 OTH 28
92314 CAN 25
92708 HTD 95
91602 HTD 27
94603 OTH 63
92653 CAN 67
91356 CAN 61
94608 CAN 51
92114 CAN 101
91103 STK 21
93305 INJ 21
91790 HTD 58
93536 STK 25
91504 HTD 60
95747 STK 23
95831 CAN 95
92128 ALZ 36
92040 HTD 90
90631 HTD 100
91730 HTD 66
96021 CAN 33
94518 HTD 51
90731 CAN 93
92311 CLD 24
95377 CAN 26
92316 HTD 35
92024 OTH 64
92833 OTH 35
91324 HTD 56
94501 INJ 22
92105 OTH 69
95642 OTH 27
90032 CAN 57
92586 ALZ 26
95825 HTD 101
92545 OTH 71
90620 OTH 55
93706 HTD 71
93304 OTH 66
94505 CAN 25
90007 OTH 20
91776 OTH 39
94025 CAN 94
95252 HTD 31
92276 CAN 23
90746 HTD 67
93906 HTD 55
91505 OTH 32
92843 HTD 70
94024 HTD 35
90405 CAN 47
91206 STK 27
93960 OTH 25
95969 OTH 104
93004 CAN 35
93402 HTD 31
90604 STK 22
90803 OTH 51
95405 CAN 41
91773 OTH 41
90731 CAN 100
92504 CAN 85
95338 HTD 25
91101 HTD 34
94040 CAN 46
95991 STK 29
90044 STK 38
93274 HTD 114
95825 CLD 23
93422 HTD 57
94705 OTH 23
91910 HTD 177
93030 HTD 77
92111 CAN 90
94517 CAN 25
90660 CLD 21
92880 OTH 27
95814 HTD 37
94954 INJ 20
95126 CAN 31
95060 HTD 62
90019 STK 25
95624 OTH 45
91342 HTD 138
95127 STK 20
92801 CLD 23
94134 HTD 64
95602 CAN 44
90056 HTD 24
90023 CAN 32
90241 CAN 63
92075 CAN 27
92841 CAN 44
95642 HTD 34
90813 CAN 47
93551 CAN 68
90403 HTD 58
92345 CAN 134
92127 ALZ 20
92707 STK 20
92804 STK 29
93030 CLD 21
95821 HTD 86
94133 STK 34
94014 HTD 59
91362 CAN 54
93280 OTH 27
94513 OTH 34
94115 OTH 70
92027 CLD 20
94596 OTH 55
94030 HTD 56
94960 CAN 27
90266 HTD 40
94568 CAN 24
95822 CAN 101
92129 HTD 28
92844 CAN 21
90605 OTH 38
95822 HTD 126
91011 HTD 36
94547 HTD 20
92651 OTH 29
99998 ALZ 41
93654 OTH 31
91202 CAN 47
92410 CAN 62
91331 CAN 96
95610 STK 23
93304 CAN 83
90065 OTH 29
94619 CAN 45
92648 CAN 57
92562 ALZ 20
91766 CAN 65
94563 OTH 29
92411 HTD 53
95501 OTH 48
95219 OTH 24
90601 OTH 36
92677 STK 25
92354 HTD 60
95207 CAN 90
91001 STK 31
91801 STK 29
93402 CAN 35
92377 HTD 27
94510 OTH 35
93618 HTD 29
90703 OTH 52
92118 OTH 34
90606 OTH 51
95205 INJ 22
95823 HTD 111
90504 HTD 57
91504 OTH 35
92660 CAN 60
93725 OTH 24
95120 OTH 26
94533 ALZ 38
90005 HTD 31
95687 HTD 80
90003 STK 20
94063 OTH 21
95501 OTH 65
90680 HTD 78
95060 HTD 68
94804 CAN 79
91105 CAN 24
95926 HTD 77
93906 HTD 87
94530 CAN 52
90706 STK 21
92103 STK 39
95051 CLD 22
90008 HTD 123
95405 CAN 55
94118 OTH 41
91950 HTD 130
92604 OTH 20
91406 CAN 53
95928 ALZ 28
93711 STK 21
92009 HTD 52
95376 HTD 59
92886 HTD 54
90062 CAN 63
90631 INJ 33
94024 CAN 34
93023 HTD 47
94612 HTD 60
93306 STK 21
90810 CAN 54
95835 CAN 21
95616 HTD 64
92335 CAN 101
94402 CAN 57
90247 HTD 104
92835 OTH 32
95112 HTD 46
90035 STK 29
93618 HTD 42
95014 CAN 75
91722 HTD 59
93543 HTD 22
95356 HTD 59
94116 HTD 102
92127 OTH 22
91367 HTD 76
95127 HYP 25
90732 CAN 48
90631 STK 30
92102 HTD 74
90638 OTH 57
93033 INJ 20
95954 HTD 47
93711 CAN 66
91007 OTH 29
94066 HTD 63
91977 CAN 92
